BLOCK,PLOT,TREE,SPP,DAM1,DEDUCT1,DAM2,DEDUCT2,DAM3,DEDUCT3,T_DEDUCT
B4,4,360,NS,SWP,5,,,,,2
B4,4,362,RS,FD,10,,,,,3
B4,4,364,NS,WV,15,FK,40,MT,35,30
B4,4,372,NS,,,SPK,15,FK,50,22
B4,4,378,NS,SWP/FD,50,FD/WV,40,,,30
B4,5,250,WS,,,,,,,0
B4,5,254,BS,,,,,,,0
B4,5,260,WS,,,,,,,0
B4,5,265,BS,,,FK,25,MT,50,25
B4,5,271,BS,,,,,,,0
B4,5,278,BS,,,,,,,0
B4,5,281,WS,,,,,,,0
B4,5,284,BS,SWP,10,WV,5,,,5
B4,5,285,WS,SN,30,SN,20,,,17
B4,5,287,WS,,,,,,,0
B4,5,294,BS,,,,,,,0
B4,5,295,WS,WV,2,,,SN,5,2
B4,5,299,WS,,,,,,,0
B4,5,300,WS,BF,15,WV,5,WV,7,9
B4,5,305,WS,,,WV,2,,,1
B4,5,309,BS,WV,8,,,,,3
B4,5,311,BS,,,,,,,0
B4,5,313,BS,,,,,,,0
B4,5,600,WS,,,,,,,0
B4,5,603,BS,,,,,,,0
B4,6,215,RS,,,,,,,0
B4,6,216,RS,,,,,,,0
B4,6,217,RS,SWP,20,,,,,7
B4,6,218,RS,,,,,,,0
B4,6,226,RS,,,,,,,0
B4,6,238,RS,,,SWP,4,,,1
B4,6,240,RS,,,,,,,0
B4,6,531,RS,,,,,,,0
B4,6,534,RS,,,,,,,0
B4,7,167,BS,SN,10,SN,10,,,7
B4,7,168,BS,,,,,,,0
B4,7,169,NS,,,,,,,0
B4,7,175,NS,,,,,,,0
B4,7,178,BS,,,,,,,0
B4,7,180,BS,,,,,,,0
B4,7,183,BS,,,,,,,0
B4,7,188,NS,BF,40,SN,50,SN,50,47
B4,7,191,BS,,,,,,,0
B4,7,192,NS,,,,,,,0
B4,7,193,NS,WV,20,WV,30,WV,15,22
B4,7,201,BS,,,,,,,0
B4,7,203,BS,,,,,,,0
B4,7,205,BS,,,,,,,0
B4,7,206,NS,WV,25,WV,20,SN,15,20
B4,7,207,NS,WV,15,,,,,5
B4,7,209,NS,SWP,40,WV,15,,,18
B4,7,210,BS,SPK,10,,,WV,15,8
B4,7,211,NS,AD/WV,60,,,FK/MT,50,37
B4,7,509,NS,,,,,,,0
B4,8,123,BS,,,,,,,0
B4,8,124,RS,PV,,PV,,PV,,0
B4,8,125,BS,,,WV,20,,,7
B4,8,131,RS,,,,,,,0
B4,8,136,BS,WV,20,,,,,7
B4,8,137,RS,,,,,,,0
B4,8,144,RS,,,,,,,0
B4,8,145,BS,,,,,,,0
B4,8,147,RS,,,,,,,0
B4,8,148,BS,,,,,,,0
B4,8,149,RS,,,,,,,0
B4,8,152,RS,,,,,,,0
B4,8,154,RS,,,,,WV,5,2
B4,8,155,BS,SPK,15,,,,,5
B4,8,158,RS,,,,,,,0
B4,8,162,BS,,,,,,,0
B4,8,163,BS,,,,,,,0
B4,8,165,RS,,,,,,,0
B4,8,168,BS,SWP,3,,,,,1
B4,9,73,RS,,,SN,10,,,3
B4,9,75,RS,SN,30,,,,,10
B4,9,76,WS,,,,,,,0
B4,9,77,RS,PV,,PV,,PV,,0
B4,9,79,RS,BF,10,,,,,3
B4,9,82,WS,,,,,,,0
B4,9,84,WS,AD,8,SN,30,SN,30,23
B4,9,85,RS,,,,,,,0
B4,9,86,WS,,,,,,,0
B4,9,89,WS,,,,,,,0
B4,9,90,WS,SWP,3,WV,10,,,4
B4,9,91,WS,,,,,,,0
B4,9,100,RS,,,,,,,0
B4,9,106,WS,BF,20,,,,,7
B4,9,107,RS,WV,25,WV,40,,,22
B4,9,112,WS,SN,10,,,WV,35,15
B4,9,114,RS,SWP,15,,,,,5
B4,9,116,RS,,,,,,,0
B4,9,120,WS,,,,,,,0
B4,9,121,RS,,,,,,,0
B4,10,10,NS,,,WV,3,,,1
B4,10,16,NS,,,WV/FK,60,FT,50,37
B4,10,17,NS,WV,5,,,,,2
B4,10,23,NS,WV/SPK,20,WV/FK,50,FT,50,40
B4,10,26,NS,BF,30,,,,,10
B4,10,44,NS,WV,10,SPK/FK,70,WV/SPK,40,40
B4,10,53,NS,,,FK/WV,35,,,12
B4,10,61,NS,,,WV,30,WV,40,23
B4,10,62,NS,WV,10,FK,80,FT,60,50
B4,10,67,NS,SWP/WV,20,WV,20,WV,30,23
B4,11,1,RM,SWP,10,SWP/BN,25,FK,70,35
B4,11,2,RM,BF/SWP,4,SWP,10,SWP,10,8
B4,11,3,BF,,,,,,,0
B4,11,4,BF,,,,,,,0
B4,11,5,WP,,,WV,5,WV,5,3
B4,11,6,BT,,,,,FT,100,33
B4,11,7,WP,,,WN/SN,20,,,7
B4,11,8,BT,,,,,FT,40,13
B4,11,9,BF,,,,,,,0
B4,11,10,BF,,,,,,,0
B4,11,11,BF,,,,,,,0
B4,11,12,BF,,,,,,,0
B4,11,13,BF,,,,,,,0
B4,11,14,WP,WV/BF,40,WV,15,WV,15,23
B4,11,16,BF,,,,,,,0
B4,11,18,BT,SWP,,SWP,,SWP,,0
B4,11,21,BF,,,,,,,0
B4,11,22,WP,,,WV,15,SN,15,10
B4,11,23,RM,,,,,,,0
B4,11,24,BF,,,,,,,0
B4,11,26,WP,WV,10,WV,20,,,10
B4,11,27,BT,SWP,,SWP,,FT,40,13
B4,11,28,BT,,,SWP,8,SWP/FT,30,13
B4,11,30,WP,,,,,,,0
B4,11,31,RO,,,,,,,0
BS,1,752,NS,BF,15,,,FK/WV,3,6
